HEADWORD;DEFINITION;PART OF SPEECH;SEMANTIC GROUP;FREQUENCY RANK
ἐλπίς ἐλπίδος, ἡ;امید، چشم‌داشت;اسم (صرف سوم مختوم به صامت);ادراکات و احساسات;439
γραφή γραφῆς, ἡ;طرح، نقش، نوشته;اسم (صرف اول);گفتن و نوشتن;440
τίκτω, τέξω or τέξομαι, ἔτεκον, τέτοκα, τέτεγμαι, ἐτέχθην;پدید آوردن، به دنیا آوردن، ایجاد کردن، فرزند آوردن;فعل (مختوم به صامت دندانی);روابط، خانه و خانواده;441
κομίζω, κομιῶ, ἐκόμισα, κεκόμικα, κεκόμισμαι, ἐκομίσθην;نگه‌داری کردن، پاسداری کردن، بردن;فعل (مختوم به صامت دندانی);امنیت و سلامت;442
θυμός θυμοῦ, ὁ;روان، جان، دل;اسم (صرف دوم);دین;443
βλέπω, βλέψομαι, ἔβλεψα;دیدن، نگریستن;فعل (مختوم به صامت لبی);ادراکات و احساسات;444
φόβος φόβου, ὁ;وحشت، ترس، گریز;اسم (صرف دوم);ادراکات و احساسات;445
πολιτεία –ας, ἡ;جمهوری، شهروندی، اساس‌نامه، قانون اساسی;اسم (صرف اول);جامعه و حکومت;446
στάδιον σταδίου, τό (pl. στάδια and στάδιοι);واحد اندازه‌گیری طول، حدودا معادل ۱۸۵ متر;اسم (صرف دوم);سنجش و شمارش;447
φρονέω, φρονήσω, ἐφρόνησα;اندیشیدن، پنداشتن،;فعل (ادغام شده);ذهن، دریافت، و یادگیری;448
τοιόσδε τοιάδε τοιόνδε;چنان;صفت (صرف اول و دوم);ضمیر/ادات پرسش;449
ὁρμάω, ὁρμήσω, ὥρμησα, ὥρμηκα, ὥρμημαι, ὡρμήθην;به حرکت وا داشتن;فعل (ادغام شده);حرکت;450
παρασκευάζω, παρασκευάσω, παρεσκεύασα;آماده کردن، مهیا ساختن;فعل (مختوم به صامت دندانی);کار و فراغت;451
λαλέω, λαλήσω, ἐλάλησα, λελάληκα, ἐλαλήθην;حرف زدن، پرگویی کردن;فعل (ادغام شده);گفتن و نوشتن;452
δράω, δράσω, ἔδρασα, δέδρακα, δέδραμαι, ἐδράσθην;انجام دادن;فعل (ادغام شده);کار و فراغت;453
σκοπέω, σκοπήσω, ἐσκόπησα;بررسی کردن، در نظر گرفتن;فعل (ادغام شده);ادراکات و احساسات;454
βοῦς βοός, ὁ/ἡ;گاو;اسم (صرف سوم، بی‌قاعده);گیاهان و جانداران;455
ἡμέτερος ἡμετέρα ἡμέτρον;مال ما، َ ما;صفت (صرف اول و دوم);ضمیر/ادات پرسش;456
γράμμα γράμματος, τό;نقش، نویسه (الفبا، متن);اسم (صرف سوم مختوم به صامت);گفتن و نوشتن;457
ἐρωτάω, ἐρήσομαι, 2 aor. ἠρόμην;جویا شدن، پرسیدن;فعل (ادغام شده);گفتن و نوشتن;458
πολεμέω, πολεμήσω, ἐπολέμησα, πεπολέμηκα;جنگیدن;فعل (ادغام شده);جنگ و صلح;459
θύω, θύσω, ἔθυσα, τέθυκα, τέθυμαι, ἐτύθην;قربانی‌ کردن;فعل (مختوم به مصوت);دین;460
ἐλαύνω, ἐλῶ, ἤλασα, -ελήλακα, ἐλήλαμαι, ἠλάθην;راندن، راه‌بردن;فعل (مختوم به صامت روان);حرکت;461
δέδοικα, δείσομαι, ἔδεισα;هراسیدن;فعل (مختوم به صامت دندانی);ادراکات و احساسات;462
σύμμαχος –ον;هم‌نبرد، هم‌پیمان;صفت (صرف اول و دوم);جنگ و صلح;463
ἡγεμών ἡγεμόνος, ὁ;رهبر، فرمانده;اسم (صرف سوم مختوم به صامت);جامعه و حکومت;464
βαρύς βαρεῖα βαρύ;سنگین، سخت، مشکل;صفت (مختوم به ύς، ύ و εῖα);خصوصیات;465
ὧδε;چنین;قید;جهت;466
αἰσχρός –ά –όν;زشت، شرم‌آور، ننگین;صفت (صرف اول و دوم);خصوصیات;467
εἰρήνη εἰρήνης, ἡ;صلح;اسم (صرف اول);جنگ و صلح;468
ἁλίσκομαι, ἁλώσομαι, 2 aor. ἑάλων, ἑάλωκα;فتح‌شده، تسخیر شده;فعل (مجهول‌نما);جنگ و صلح;469
δέκα;ده;صفت (شمارشی);سنجش و شمارش;470
ἀμείνων ἄμεινον;بهتر، تواناتر، شجاع‌تر;صفت (صرف سوم مختوم به ων و ον);اخلاق و ارزش‌ها;471
χείρων χεῖρον;بدتر، پست تر (تفضیلی);صفت (صرف سوم مختوم به ων و ον);اخلاق و ارزش‌ها;472
βοηθέω, βοηθήσω, ἐβοήθησα, βεβοήθηκα;یاری دادن (+برایی);فعل (ادغام شده);امنیت و سلامت;473
λαμπρός –ά –όν;درخشان;صفت (صرف اول و دوم);خصوصیات;474
ἀπαλλάσσω, ἀπαλλάξω, ἀπήλλαξα, ἀπήλλαχα, ἀπήλλαγμαι, ἀπηλλάχθην or ἀπηλλάγην;رها کردن (از چیزی)، زدودن;فعل (مختوم به صامت دندانی);امنیت و سلامت;475
βουλεύω βουλεύσω, ἐβούλευσα, βεβούλευκα, βεβούλευμαι, ἐβουλεύθην;"طرح ریختن، بر آن شدن؛ میانی: مشورت کردن، تامل کردن";فعل (مختوم به مصوت);جنگ و صلح;476
μάλα;بسیار;قید;حرف ربط/ قید;477
αἰτέω, αἰτήσω, ᾔτησα, ᾔτηκα, ᾔτημαι, ᾐτήθην;درخواست کردن، خواهش کردن;فعل (ادغام شده);گفتن و نوشتن;478
σωτηρία σωτηρίας, ἡ;امنیت، نگهداری;اسم (صرف اول);امنیت و سلامت;479
ἆρα;آیا;قید;ادات;480
διώκω, διώξομαι, ἐδίωξα, δεδίωχα, ἐδιώχθην;دنبال کردن، تعقیب کردن;فعل (مختوم به صامت کامی);حرکت;481
δαίμων δαίμονος, ὁ/ἡ;نیروی ایزدی، روح، ایزد(بانو)، بخت;اسم (صرف سوم مختوم به صامت);دین;482
οὐκοῦν;بی شک ;قید;ادات;483
γλῶσσα γλώσσης, ἡ;زبان;اسم (صرف اول);اجزا بدن;484
ἑπτά;هفت;صفت (شمارشی);سنجش و شمارش;485
τολμάω, τολμήσω, ἐτόλμησα, τετόλμηκα, τετόλμημαι, ἐτολμήθην;تاب آوردن، جرات کردن;فعل (ادغام شده);ادراکات و احساسات;486
δεσπότης –ου, ὁ;ارباب;اسم (صرف اول);جامعه و حکومت;487
εἰκός εἰκότος, τό;احتمال، محتمل;اسم (صرف سوم مختوم به صامت);ذهن، دریافت، و یادگیری;488
ἄδικος ἄδικον;ناعادلانه;صفت (صرف اول و دوم);اخلاق و ارزش‌ها;489
εἴκοσι(ν);بیست;صفت (شمارشی);سنجش و شمارش;490
μυρίος μυρία μυρίον;بی‌اندازه، بی‌شمار، ده‌هزار;صفت (صرف اول و دوم);سنجش و شمارش;491
αὐτίκα;اکنون;قید;زمان;492
δέκατος –η –ον;دهم;صفت (شمارشی);سنجش و شمارش;493
βαίνω, βήσομαι, 2 aor. ἔβην, βέβηκα;قدم‌ برداشتن، رفتن، آمدن;فعل (مختوم به صامت روان);حرکت;494
περ;ادات تاکید متصل;قید;ادات;495
ἐλεύθερος ἐλευθέρα ἐλεύθερον;آزاد، رها;صفت (صرف اول و دوم);جامعه و حکومت;496
στρατιά –ᾶς, ἡ;لشکر، پیاده‌نظام;اسم (صرف اول);جنگ و صلح;497
ἀμφί;اطراف، پیرامون، برای;حرف اضافه;جهت;498
συμφορά –ᾶς, ἡ;پیش‌آمد، رویداد، بداقبالی;اسم (صرف اول);مرگ و زندگی;499
ἑκατόν;صد;صفت (شمارشی);سنجش و شمارش;500
νίκη νίκης, ἡ;پیروزی، چیرگی;اسم (صرف اول);جنگ و صلح;501
ἔπος ἔπους, τό;واژه، حکایت، نظم (کلام موزون);اسم (صرف سوم مختوم به σ);گفتن و نوشتن;502
στρατός –οῦ, ὁ;لشکر;اسم (صرف دوم);جنگ و صلح;503
φράζω, φράσω, ἔφρασα, πέφρακα, πέφρασμαι, ἐφράσθην;نمایاندن، آشکار ساختن. در حالت میانی و مجهول: تامل کردن;فعل (مختوم به صامت دندانی);گفتن و نوشتن;504
ἀργύριον ἀργυρίου, τό;پول، سکه;اسم (صرف دوم);جامعه و حکومت;505
τριάκοντα;سی;صفت (شمارشی);سنجش و شمارش;506
ἕξ;شش;صفت (شمارشی);سنجش و شمارش;507
πεμπτός –ή –όν;پنجم;صفت (شمارشی);سنجش و شمارش;508
μάρτυς μάρτυρος, ὁ/ἡ;شاهد;اسم (صرف سوم مختوم به صامت);عدل و داد;509
χαλκοῦς –ῆ –οῦν;مسی، برنزی;صفت (صرف اول و دوم);زمین;510
ἕβδομος –η –ον;هفتم;صفت (شمارشی);سنجش و شمارش;511
ποῦ;"کجا؟؛ (به ندرت) چگونه؟";ضمیر;ضمیر/ادات پرسش;512
ναί;همانا;قید;ادات;513
φῶς φωτός, τό;نور;اسم (صرف سوم مختوم به صامت);نظم جهانی;514
ὀκτώ;هشت;صفت (شمارشی);سنجش و شمارش;515
ἕκτος –η –ον;ششم;صفت (شمارشی);سنجش و شمارش;516
τριακοστός –ή –όν;سی‌ام;صفت (شمارشی);سنجش و شمارش;517
ἐννέα;نه;صفت (شمارشی);سنجش و شمارش;518
πότε;کِی؟، زمانی که...;قید;زمان;519
ὄγδοος –η –ον;هشتم;صفت (شمارشی);سنجش و شمارش;520
ἔνατος –α –ον;نهم;صفت (شمارشی);سنجش و شمارش;521
εἰκοστός –ή –όν;بیستم;صفت (شمارشی);سنجش و شمارش;522
ἀγγέλλω, ἀγγελῶ, ἤγγειλα, ἤγγελκα, ἤγγελμαι, ἠγγέλθην;پیام آوردن;فعل (مختوم به صامت روان);گفتن و نوشتن;523
ἑκατοστός –ή –όν;صدم;صفت (شمارشی);سنجش و شمارش;524
