HEADWORD;DEFINITION;PART OF SPEECH;SEMANTIC GROUP;FREQUENCY RANK
ἐπεί;از زمانی که، پس از اینکه، هنگامی که;حرف ربط وابسته‌ساز;زمان;75
ὅσος ὅση ὅσον;به هر اندازه، بدین بزرگی/اندازه/شمار، همه‌ی آنچه که، همه‌ی آنانی که;صفت (صرف اول و دوم);ضمیر/ادات پرسش;76
καλέω, καλῶ, ἐκάλεσα, κέκληκα, κέκλημαι, ἐκλήθην;فراخواندن، صدا زدن;فعل (ادغام شده);گفتن و نوشتن;77
σῶμα σώματος, τό;بدن، تن;اسم (صرف سوم مختوم به صامت);اجزا بدن;78
δεῖ, δεήσει, impf. ἔδει;بایستی، لازم است که (+رایی و اسم مصدر);فعل (غیرشخصی);اخلاق و ارزش‌ها;79
ὥσπερ;گویی، درحالی‌که;حرف ربط وابسته‌ساز;حرف ربط/ قید;80
δίδωμι, δώσω, ἔδωκα, δέδωκα, δέδομαι, ἐδόθην;پیشکش کردن، واگذار کردن، دادن;فعل (مختوم به μι);مبادلات ;81
ἔτι;هنوز، همچنان;قید;زمان;82
φύσις φύσεως, ἡ;طبیعت، سرشت;اسم (صرف سوم مختوم به ι);نظم جهانی;83
μικρός –ά –όν;کوچک، کم، کوتاه;صفت (صرف اول و دوم);سنجش و شمارش;84
δύναμαι, δυνήσομαι, ἐδυνήθην, δεδύνημαι;توانستن، قادر بودن (+اسم مصدر);فعل (غیرشخصی);کار و فراغت;85
ὥστε;در نتیجه، تا، تا اینکه;حرف ربط وابسته‌ساز;حرف ربط/ قید;86
ἀρχή ἀρχῆς, ἡ;ابتدا، آغاز، منشاء، اصل، قلمرو، حاکمیت;اسم (صرف اول);زمان;87
ἕκαστος ἑκάστη ἕκαστον;هر یک، هر کدام;ضمیر;ضمیر/ادات پرسش;88
ἡμέρα ἡμέρας, ἡ;روز;اسم (صرف اول);نظم جهانی;89
φύω, φύσω, ἔφυσα;"پدید آوردن، ایجاد کردن؛ در ماضی آئوریست (ἔφυν): رشد کردن؛ در ماضی نقلی (πέφυκα): چیزی را در طبیعت خود داشتن، بنابر سرشت خویش عمل کردن";فعل (مختوم به مصوت);نظم جهانی;90
ἅπας ἅπασα ἅπαν;همه، تمام، کل;اسم (صرف سوم، بی‌قاعده);سنجش و شمارش;91
ὅμοιος ὁμοία ὅμοιον;شبیه، مانند، بسان (+برایی);صفت (صرف اول و دوم);خصوصیات;92
νῦν, νυνί;اکنون;قید;زمان;93
γῆ γῆς, ἡ;زمین;اسم (صرف اول);زمین;94
δύναμις δυνάμεως, ἡ;نیرو، توان، قدرت;اسم (صرف سوم مختوم به ι);جنگ و صلح;95
καλός –ή –όν;زیبا، فاخر;صفت (صرف اول و دوم);خصوصیات;96
κύριος κυρίου, ὁ;سرور، ارباب;اسم (صرف دوم);جامعه و حکومت;97
μᾶλλον;بیش، بیشتر، بیش از،;قید;حرف ربط/ قید;98
ὅδε ἥδε τόδε;این;ضمیر;ضمیر/ادات پرسش;99
ὅλος ὅλη ὅλον;همه، کل، تمام، کامل;صفت (صرف اول و دوم);سنجش و شمارش;100
μέρος μέρους, τό;قسمت، بخش;اسم (صرف سوم مختوم به σ);سنجش و شمارش;101
ἄρα;در نتیجه، بنابراین;قید;ادات;102
ἐμός ἐμή ἐμόν;مال من، ِ من ;صفت (صرف اول و دوم);ضمیر/ادات پرسش;103
χράομαι, χρήσομαι, ἐχρησάμην, κέχρημαι, ἐχρήσθην;استفاده کردن، از سر گذراندن، متحمل شدن، رفتار کردن، تا کردن;فعل (مجهول‌نما);جامعه و حکومت;104
δύο;دو;صفت (شمارشی);سنجش و شمارش;105
χρόνος χρόνου, ὁ;زمان;اسم (صرف دوم);زمان;106
ἴσος ἴση ἴσον;مانند، برابر (+برایی);صفت (صرف اول و دوم);سنجش و شمارش;107
ὅταν (ὅτε-ἄν);هرگاه که، هنگامی که (+التزامی);حرف ربط وابسته‌ساز;حرف ربط/ قید;108
μόνον;تنها، فقط;قید;حرف ربط/ قید;109
οἶδα, infin. εἰδέναι, imper. ἴσθι, plupf. used as impf. ᾔδειν;دانستن، بلد بودن (+اسم مصدر);فعل (بی‌قاعده);ذهن، دریافت، و یادگیری;110
βασιλεύς βασιλέως, ὁ;"شاه؛ بدون حرف تعریف: شاه پارس";اسم (مختوم به έως و εύς);جامعه و حکومت;111
ὦ;"آه؛ ای (+ندایی)";interjection;ادات;112
βούλομαι, βουλήσομαι, βεβούλημαι, ἐβουλήθην;"مایل بودن، راغب بودن، حاضر به انجام کاری بودن؛ ὁ βουλόμενος: آن‌کس که می‌خواهد/مایل است... (+اسم مصدر)";فعل (مجهول‌نما);ادراکات و احساسات;113
φαίνω, φανῶ, ἔφηνα, πέφηνα, πέφασμαι, ἐφάνην;روشن کردن، آشکار کردن. مجهول: روشن شدن، آشکار شدن (+اسم مصدر یا مصدر وصفی);فعل (مختوم به صامت روان);یافتن و نمایاندن;114
γράφω, γράψω, ἔγραψα, γέγραφα, γέγραμμαι, ἐγράφην;نوشتن;فعل (مختوم به صامت لبی);گفتن و نوشتن;115
φέρω, οἴσω, 1 aor. ἤνεγκα, 2 aor. ἤνεγκον, ἐνήνοχα, ἐνήνεγμαι, ἠνέχθην;آوردن، حمل کردن;فعل (بی‌قاعده);کار و فراغت;116
ψυχή ψυχῆς, ἡ;روان، حیات، نفس، روح;اسم (صرف اول);انسان و هستی;117
μηδείς μηδεμία μηδέν;هیچ‌کس، هیچ‌چیز;ضمیر;ضمیر/ادات پرسش;118
αἴτιος αἰτία αἴτιον;مجرم، مقصر، مسئول;صفت (صرف اول و دوم);عدل و داد;119
πάλιν;"دوباره، باز، از نو؛ پیش، عقب";قید;جهت;120
μάλιστα;"بهترین، بیشترین؛ حتما، قطعا";قید;حرف ربط/ قید;121
ὑπάρχω, ὑπάρξω, ὑπῆρξα, ὑπῆργμαι, ὑπήρχθην;"بودن، وجود داشتن، آغاز کردن، پیش قدم شدن؛ τὰ ὑπάρχοντα: شرایط موجود";فعل (مختوم به صامت کامی);انسان و هستی;122
ἄρχω, ἄρξω, ἦρξα, ἦργμαι, ἤρχθην;آغاز کردن، حکم راندن، هدایت کردن، تسلط داشتن بر (+اضافی);فعل (مختوم به صامت کامی);زمان;123
γυνή γυναικός, ἡ;زن;اسم (صرف سوم، بی‌قاعده);انسان و هستی;124
ποτε (enclitic);زمانی، روزی روزگاری;قید;زمان;125
ἵνα;"که؛ آنجا که، جایی که ؛ تا ";حرف ربط وابسته‌ساز;حرف ربط/ قید;126
ὄνομα ὀνόματος, τό;نام، آوازه;اسم (صرف سوم مختوم به صامت);گفتن و نوشتن;127
ὑπέρ;به خاطر، برای (+اضافی) بالای، فراتر از (+رایی);حرف اضافه;حرف اضافه بدون جهت;128
ἤδη;اکنون، الان، همین حالا (برای گذشته و آینده‌ی نزدیک نیز به کار می‌رود);قید;زمان;129
πατήρ πατρός, ὁ;پدر;اسم (صرف سوم، بی‌قاعده);روابط، خانه و خانواده;130
ἀκούω, ἀκούσομαι, ἤκουσα, ἀκήκοα, plup. ἠκηκόη or ἀκηκόη, ἠκούσθην;شنیدن، گوش دادن;فعل (مختوم به مصوت);ادراکات و احساسات;131
γένος γένους, τό;تبار، چهر، نوع ، گونه;اسم (صرف سوم مختوم به σ);روابط، خانه و خانواده;132
τόπος τόπου, ὁ;مکان، موضوع;اسم (صرف دوم);زمین;133
πράσσω, πράξω, ἔπραξα, πέπραχα, πέπραγμαι, ἐπράχθην;کردن، انجام دادن، پدید آوردن;فعل (مختوم به صامت دندانی);کار و فراغت;134
πρῶτος πρώτη πρῶτον;نخست;صفت (صرف اول و دوم);سنجش و شمارش;135
εὑρίσκω, εὑρήσω, 2 aor. ηὗρον or εὗρον, ηὕρηκα or εὕρηκα, εὕρημαι, εὑρέθην;یافتن، کشف کردن، اختراع کردن;فعل (مختوم به صامت کامی);یافتن و نمایاندن;136
παῖς παιδός, ὁ/ἡ;فرزند، غلام، کنیز;اسم (صرف سوم مختوم به صامت);روابط، خانه و خانواده;137
ἔρχομαι, fut. εἶμι or ἐλεύσομαι, 2 aor. ἦλθον, ἐλήλυθα;آمدن، رفتن;فعل (مجهول‌نما);حرکت;138
υἱός υἱοῦ, ὁ;پسر;اسم (صرف دوم);روابط، خانه و خانواده;139
ὕδωρ ὕδατος, τό;آب;اسم (صرف سوم مختوم به صامت);نظم جهانی;140
ἴδιος ἰδία ἴδιον;مخصوص، ویژه متمایز;صفت (صرف اول و دوم);ضمیر/ادات پرسش;141
